品牌,商品名稱,6個月評分,價格,商品說明
CeraVe 適樂膚,長效清爽保濕乳,6.2,409/599,"不含香精、酒精、Paraben類防腐劑、不致粉刺
適合敏感/乾燥/泛紅性肌膚
極清爽乳液質地，給予肌膚長達24小時保濕，並強化肌膚屏障功能
由美國皮膚科醫生共同研發，內含高效三重神經醯胺，配合專利MVE長效保濕導入技術，有效修復肌膚天然保濕機制，清爽保濕不黏膩，從第一次使用起，帶給肌膚天然水潤。
"
Estée Lauder 雅詩蘭黛,特潤超導全方位修護露,6.1,3980,"2021.01 花開富貴限定版
"
Hada-Labo 肌研,極潤保濕化粧水,6,440,"1. 肌研經典明星產品，締造全球熱賣突破1億瓶熱銷奇蹟。
2. 添加日本樂敦全新獨家「發酵玻尿酸」，提供潤澤同時還能為肌膚建立防護屏障，使肌膚更健康透亮。
3. 4重玻尿酸完美保濕處方「發酵玻尿酸、高效玻尿酸、玻尿酸、水解玻尿酸」，補水鎖水，為肌膚帶來極致潤澤，更水潤Q彈。
4. 精華液般潤澤觸感，輕拍瞬間吸收，舒緩乾燥肌膚。
5. 採用與健康肌膚相同的弱酸性。
6. 以溫和對待肌膚為重點，低刺激性，無添加香料、色素、油份、酒精。
"
LANCÔME 蘭蔻,超未來肌因賦活露,6.2,3100/4250,"歡慶虎年到來，2022年1月小黑瓶將限量推出新年期間限定販售的100ml大容量小黑瓶，包裹上充滿喜氣與活力的紅色新衣一同慶賀新年，讓你膚況虎虎升峰，一起改變、升級成更好的自己！
2021.01新年限量版 
30/100ml
NT$3,000/6,500
2020.01新年限量版
30ml/NT$3,000
100ml/NT$6,500
 
"
CLARINS 克蘭詩,黃金亮眼萃,6.1,2600,"黃金雙植萃 
植萃科研 肌底喚活
有機高山峨參：由196種植萃中臻選而得的亮眼新發現，來自法國有機栽植和採收，賦活眼周
黃金薑黃：第八代黃金雙激萃的抗老關鍵
添入13種植萃複方，喚活眼周年輕！
黃金雙質地
雙管齊下 亮眼發光
2/3 提亮水精華：注入強效保濕和平滑細緻
1/3 彈潤乳精華：賦予緊彈滋養和親膚鎖水
仿皮脂膜黃金比例，更親膚、更滲透、更舒適！
黃金雙用法
大滴眼膜 小滴日常
客製化的旋轉式壓頭設計，依照膚質、早晚、氣候等不同狀況，選擇最適合你的用量，首創一瓶雙效，史上最強眼周救星！
大滴 薄敷急救亮眼
小滴 日常水亮保養
"
ORIGINS 品木宣言,DR.WEIL青春無敵靈芝光潤機能水,6,1500,"10X濃萃靈芝 秒吸收．超爆水．極細緻
解決肌膚10大問題 
 
四大升級重點 : 
10X濃萃靈芝：
速效舒緩滲透，2倍快速告別泛紅，穩健肌底不再發火
微分子蕈菇激活精萃：
速效修護、舒緩泛紅、平滑緊緻、強建肌底 ，一抹彈嫩亮
玻尿酸 : 
瞬效保濕超補水，超速滲透 打造水嫩透亮
獨家首創 Plantmunity Technology™ 植萃防禦科技 :
運用烏拉爾甘草適應原＋甘草次酸，啟動肌膚超強防禦力，膚況聽話不出事
"
CLARINS 克蘭詩,超級精華-黃金雙激萃,6.2,2900/3980,"克蘭詩「黃金雙激萃 超級精華」嚴選[20+1] 種高效抗老植萃，深入肌底發揮極致作用。薑黃用吃的吸收有限，用擦的薑黃才能抗老化！

採用客製化的旋轉式壓頭設計，小滴適合油性及混合性肌膚，亦或是因應亞洲夏季悶熱的氣候，而大滴適合普通及乾性肌膚，或是乾冷的氣候，適度調配保養用量兼顧肌膚各層的多元需求，克蘭詩「黃金雙激萃 超級精華」超級貼心設計，滿足一年四季的各種肌膚狀況！是各種膚質皆適用的全方位超級精華。

全新「黃金雙激萃 超級精華」的油溶性精萃採用全植物油萃取，質地上更為輕盈，油性肌膚使用上也無清爽無負擔。因採用水溶性精萃與油溶性精萃分裝的瓶身設計，不使用介面活性劑，敏感肌膚也可以安心使用。傳承前一代「黃金雙激萃」獨創的[水＋油黃金比例系統]，仿效肌膚皮脂膜的水、油比例結構，新一代清爽親膚質地，不僅吸收更快，更適合台灣氣候與亞洲女性的肌膚。

(2017.09上市)
"
DR.WU 達爾膚,角鯊潤澤修復精華 INTENSIVE REPAIRING SERUM WITH SQUALANE,6.1,1000/2000,頂級植萃角鯊、完美複合配方、極致修復肌膚、輕盈質地不致痘/不油膩- 頂級植萃角鯊精華，25道程序精煉而成，滴滴精純、滴滴珍萃- 完美複合配方，不只是角鯊，更添加3種珍貴精華油 + 3重植物精萃★ 三種珍貴精華油：「Liquid Gold」有機摩洛哥堅果油、夏威夷堅果油及擬膚脂質複合物L22，完美模擬肌膚皮膚脂質的結構，不但親膚性更佳，吸收更快速、作用更深層★ 三重植物精萃添加，抗氧抗老效果PLUS，保養效果更全面：「長效滋潤 x 重建屏障 x 鞏固彈力」- 極致修復肌膚，不只健全皮脂膜，更能鎖住水分、抗老，有效強化肌膚天然屏障- 獨家輕盈油質地，不悶、不黏、不致痘，1秒瞬間吸收！適用膚質：乾燥及開始出現肌膚暗沉、有倦怠感...等肌膚初老症狀膚質皆適用主要成分：頂級植萃角鯊精華、有機摩洛哥堅果油、夏威夷堅果油、擬膚脂質複合物L22* 、深海褐藻精粹、白羽扇豆精粹、杜沙藻精粹*擬膚脂質複合物L22：複合夏威夷堅果油、荷荷巴油、橄欖油三類油酯，重組模擬22歲年輕皮脂的組成比例(2017.10上市)
LA MER 海洋拉娜,經典乳霜 The Moisturizing Cream,5.9,3600/6800/12600/18800,"限量版蔚藍之心經典乳霜
100ml/NT$17,600
海洋拉娜以全新限量版蔚藍之心經典乳霜，慶祝並紀念我們對於海洋保育的投入。今年的經典乳霜包裝採鏡面手繪水彩設計，靈感來自波光粼粼的閃亮海洋，海洋拉娜期待能與你一起探索充滿再生力量海洋所帶來的傳奇性修復保濕力。
"
KISSME開架,超！持久極細抗暈眼線液筆,6,439,"一筆柔滑顯色抗暈，直到夜晚依然有神
內置新液體調節裝置，搭配新顯色成分，一筆流暢亮眼顯色均勻，不需重複補色，
日本製造柔軟彈性極細0.1mm筆頭，筆觸柔滑好上手，恰好的軟硬度不扎眼皮，輕鬆填滿眼
角和睫毛間隙
從眼頭到眼尾描繪精緻極細線條，新手和手殘黨也可以快速上手，
速乾成分，一筆完妝不沾眼皮，迅速打造完美深邃眼神，
新持久成分和新高密着成分，持久顯色不暈染，
全日保持完美妝容，直到夜晚也持久不脫妝
從早到晚，綻放完美深邃眼神
 
"
LA ROCHE-POSAY 理膚寶水,B5全面修復霜 Cicaplast Baume B5,6.1,400/850,"擁有極舒適質地滋潤保濕，推開後迅速吸收不黏膩，不留下白色痕跡，是居家日常必備、隨身攜帶的最佳保養品。

主要成分：5%維生素原B5、積雪草苷、微量元素鋅/銅/錳、雪亞脂、甘油、理膚寶水溫泉水
(2014.01上市)
"
KISSME開架,一刷睫淨睫毛膏卸除液,6.1,320,"【產品特色】
卸妝能力再升級！快速卸除強力型防水睫毛膏！ 
⁃刷頭齒狀間距拉寬、加深，一次可以沾取更多卸除液，卸妝能力再升級，更快更乾淨！
⁃卸除液增量10%，加量不加價。
⁃無須搓揉，輕鬆卸除強力防水型睫毛膏。
⁃添加人蔘根萃取精華、山茶花油、甜杏仁油、摩洛哥堅果油、蜂王乳萃取精華與野玫瑰油等多種睫毛滋養成分。
⁃無香料、無色素、無酒精，無界面活性劑，成分溫和，不易引起刺激。
(2017.04上市)
"
KISSME開架,超！持久立挺翹長防水睫毛膏,5.9,499,"更長!更翹!更持久! 睫毛立挺直達天際
睫毛長度直達天際 一刷立綻扇形美睫 塑造質感精緻妝容
更長!更翹!更持久! 纖長UP↑全新超長纖維EX配合，越刷越長不糾結，持久捲翹再升級! 符合眼型彎曲型刷頭設計，輕鬆刷出完美弧度、根根分明、精緻立體扇形美睫 超快乾瞬間記型科技，瞬間記型全日捲翹! ，彷彿使睫毛穿上雨衣，不脫妝、不暈染 

省時，不需補妝。
宛如天生扇形美睫讓人看起來更自信。 
• 全新研發 5mm 纖長纖維 EX，根根分明 更容易附著睫毛，睫毛長度無限延伸，刷的層數愈多，睫毛愈長，創造驚人纖長效果。即 便重複塗刷，也根根分明，打造精緻明顯的立體美睫。 
• 超快乾瞬間記型科技，鎖定捲翹，持久定型 超快乾瞬間記型全日捲翹!力抗地心引力，塗刷瞬間，強力 hold 住捲翹度。維持全天不 下垂! 
• 配合東方女性眼型設計之弧型刷頭 能將最適量的纖維塗刷在睫毛上，且可將下垂、不均的睫毛作拉提延伸，細微處也能輕鬆 塗刷! 
• 富含 6 種美容液成分，上妝同時滋養睫毛 山茶花籽油、甜杏仁油、摩洛哥堅果油、薔薇果油、人參根萃取、蜂王漿萃取，持續使用， 能強化睫毛呈現亮澤捲翹。 
 
"
DR.WU 達爾膚,超逆齡多肽修復精華  ,5.9,2000,"蘊含獨家「雙波緊緻胜肽科技」，1波緊緻修復，2波激活逆齡，更升級添加喜馬拉雅龍膽草精萃 & 法國珍稀珊瑚草，能高效修復肌膚、缺乏彈力、紋理粗糙，將抗老做得更全面，1滴全能修復，立即保濕水潤、提亮光澤、肌膚彈潤更緊緻。質地豐盈滑順好推勻，一抹滲入肌膚、秒速吸收，使膚觸更加細緻柔潤、迅速逆轉肌齡。全成分無酒精、無香精，溫和。
"
DR.WU 達爾膚,超逆齡修復精華霜,6,2500,"獨家「雙波緊緻胜肽科技」，1波緊緻修復，2波激活逆齡，分波段層層修復逆齡。自瑞士阿爾卑斯山冰原島峰上採擷瑞士冰河植萃肌因，完整封存能抵禦極地環境的萬年修復力；協同超電波複合胜肽，全面改善皺紋細紋、缺乏彈力、紋理粗糙，創造無法被超越的彈嫩、膨潤、緊緻！搭配以法國頂級植萃角鯊為首的6重珍稀植萃，深度滋潤保濕，使肌膚由內而外綻放年輕光采！質地如奶油般柔軟、豐盈滑順好推勻，一抹滲入肌膚、秒速吸收，使膚觸更加細緻柔潤、迅速逆轉肌齡。全成分無酒精、無香精，溫和。
"
GUERLAIN 嬌蘭,嬌蘭皇家蜂王乳平衡油3G,6,2000/3680/5300,"全新成分及科技打造出更 輕盈、更水感、但絲滑豐潤且修護力更飆速的精華美容油:包括來自法國烏埃尚島真 稀黑蜂蜂蜜、法國索隆森林蜂王乳，更添加法國科西嘉島蜂蜜、希臘伊卡利亞島的傳 奇蜂蜜以及來自芬蘭奧蘭群島的蜂蜜，全新成分打造動態「黑蜂修護科技」，帶來前所 未有的快速修護，同時為肌膚帶來彈潤、亮澤、緊實。其輕盈如水的質地，可以混搭 使用任一款精華、化妝水、乳液，甚至可滴入粉底液使用，創造更佳的持妝效果，可 單擦也可混搭，打造多元的使用感受，絕對是美妝市場上絕無僅有的天后級產品。
"
LANCÔME 蘭蔻,超極光活粹晶露,5.9,3500,"第一瓶以「酵素科學」打造的精華水
酵素是肌膚勻淨細緻透亮的關鍵
運用酵素科學打造全新「極光水」《超極光活粹晶露》讓肌膚持續保持彈嫩保濕、細緻透亮，無瑕淨亮!

獨家97:3完美發光比例
全新《超極光活粹晶露》運用尖端酵素科學知識，並歷經多達102次修正，終於創造出結合97%「激光酵素複合精華」+3%「天然植萃精油」，最適合肌膚、最能帶給肌膚彈嫩保濕與持久明亮剔透效果的黃金比例配方。

專利「極光激活棒」
每瓶極光水瓶中均附有一只蘭蔻專利設計的「極光激活棒」。每次使用前只需先上下搖晃《超極光活粹晶露》瓶身，水相與油相配方即可藉由「極光激活棒」高速融合並產生無數顆「新鮮現打」超微細的精華氣泡。每顆大小均勻的泡泡，都均質含有97%「激光酵素複合精華」+3%「植萃冷壓精油」，讓肌膚能迅速吸收泡泡中的所有養分，感受立即水潤保濕，舒適不黏膩，一整天持續綻放明亮光澤的驚喜！
"
LA MER 海洋拉娜,濃萃修復眼霜 The Eye Concentrate,5.9,8900,含有3倍濃縮精華、3重修護功效、能顯著改善：持續使用可改善紋路問題，強化眼周保護屏障，喚醒活力青春明眸。
shu uemura 植村秀,全新全能奇蹟金萃潔顏油 Ultime8 Sublime Beauty Cleansing Oil,6,1500/3650,"2021.10 HELLO KITTY 限量聯名系列
HELLO KITTY全能奇蹟金萃潔顏油擁有可愛又時尚的包裝，不只讓你清潔卸妝擁有好心情，還讓你一卸柔嫩，保濕不緊繃。
2020.05 鬼塚虎聯名系列
2019.10 限量聯名彩妝系列 150ml/NT$1,450,450ml/3,650
"
NIVEA 妮維雅,妮維雅霜,5.8,,"質地滋潤，能充分滋潤呵護肌膚，，提供肌膚所需油脂同時形成保護膜，防止水分流失，讓肌膚即使在乾冷的冬天也能保有原來的光華潤澤。
"
LANCÔME 蘭蔻,零粉感超持久粉底SPF38/PA+++,6,2000,"超能力1: 全天超持久 越晚越美麗
針對亞洲潮濕高溫的氣候，LANCÔME實驗室為亞洲女性發表嶄新的粉底技術全新超持妝科技──「3D持妝隱形網」，猶如肌膚表層一道會呼吸的防護網，可降低水分揮發速度，肌膚更保濕、妝感更持久、服貼，越晚越美!同使不造成毛孔阻塞，讓上妝肌膚每時每刻都在呼吸!
超能力2: 超薄零粉感 完美零瑕疵
顛覆一般持久粉底「靠粉遮瑕」造成妝感厚重的印象，蘭蔻首創「靠光遮瑕」，用「珍珠光感粒子」帶來加倍光線折射，改善暗沉不均、提亮膚色，同時完美隱藏肌膚瑕疵。全天透出完美微霧光，近距離細看也毫無破綻! 同時超微粒粉體更加輕盈、細緻，質地更加滑順、延展性高。米粒般的大小用量就夠全臉使用，輕抹瞬間，立刻緊密貼合肌膚，完美修飾遮瑕卻輕薄零粉感，肌膚感覺像無妝感那樣透氣、零負擔!
超能力3: 保濕零乾紋 全天微霧光 
想要完美解決亞洲女性容易出油、流汗的膚況，LANCÔME實驗室特別研發「智慧油水調控科技」針對肌膚乾燥處自動補水，出油處自動吸油，讓毛孔、油光瞬間神隱，自動滿足肌膚各種需求。全天候持續優越的抗油抗汗效果，在任何悶熱與潮溼的環境，肌膚都能不泛油光、不脫妝，全天透出完美微霧光。
共12色
"
LANCÔME 蘭蔻,超未來肌因活性安瓶,5.8,3000,"蘭蔻獨家的微生態修護專利也將加入2021年8月即將震撼上市的新品─未來安瓶中，搭配真空封存98%超高濃度活性阿魏酸成分，急速發揮深入修護、穩定膚況，擊退泛紅、乾燥脫皮、毛孔粗大、暗沉蠟黃等5大肌膚問題的優異效果！
當肌膚特別需要「振衰起弊」、「化暗為明」等強力急救的關鍵時刻，《超未來肌因活性安瓶》可為肌膚快速供給最高單位、最高純度的修護與舒緩能量，迅速擊退問題膚況，使肌膚一夜之間煥然新生。
【NEW未來安瓶】SOS ! 急救必備，建議於肌膚遇到突發問題、出席重要場合前，在夜晚以未來安瓶取代原有精華液進行密集急救保養
"
SHISEIDO 資生堂國際櫃,紅妍超導循環肌活露,6,3950,"全新「電波概念」抗老精華液！
一滴讓肌膚變成「年輕超導體」
全新 資生堂小紅瓶 #電波精華 結合全球獨家「Lifeblood™超導循環技術」，1滴蘊含多種天然植萃成分，能舒緩肌膚電位；增強肌膚２倍防禦力，讓肌膚健康、彈嫩、透亮
"
SHISEIDO 資生堂國際櫃,激抗痕亮采緊緻抗皺精華乳,5.7,3900,"激抗痕亮采緊緻抗皺精華乳：包含純高純度維他命A，並含有亮白成分的4MSK。 
"
CLARINS 克蘭詩,全效緊緻眼霜,5.9,2600,"克蘭詩全新『全效緊緻眼霜』(暱稱『賽車眼霜』)，讓你在和歲月的競賽中絕對不失分。植萃專家克蘭詩為脆弱的眼周肌膚量身訂製包辦眼周問題的全方位眼霜──『全效緊緻眼霜』，以有機哈倫加那葉與金合歡等高達94%天然植萃配方打造「雙重拉緊網」，搭配超濃縮精華水凝乳質地，一抹猶如精華，高效修護，水感保濕滿點補充，輕盈直達肌底。超速功效一次滿足，符合所有年齡保養需求加上親民價位，堪稱最強全齡全能眼霜，入門可！高效能抗老亦可！
"
YSL 聖羅蘭,極效活萃夜光仙人掌超級精華,6,3250,"補充膠囊30ml NT$2850
"
DR.WU 達爾膚,超逆齡多肽修復眼霜,5.8,1500,"獨家「雙波緊緻胜肽科技」，1波緊緻修復，2波激活逆齡，分波段層層修復逆齡。自瑞士阿爾卑斯山冰原島峰上採擷瑞士冰河植萃肌因，完整封存能抵禦極地環境的萬年修復力；協同超電波複合胜肽，全面改善皺紋細紋、缺乏彈力、紋理粗糙，創造無法被超越的彈嫩、膨潤、緊緻！更獨家導入革命性3D緊塑眼部科技！質地輕潤滑順，能快速滲透吸收，蘊含多種天然油脂，深度滋潤，賦予眼周舒適柔滑的感受。全成分無酒精、無香精，溫和。
"
KIEHL'S 契爾氏,超活酵青春精釀露 Ferulic Brew Rejuvenating Facial Essence,5.7,2100,"全新【超活酵青春精釀露】4大植物活萃成份能形成肌膚防護層，包括擁有強大修護力的「蕓薹萃取分子」、「阿魏酸」以及能柔化肌膚紋理、「橄欖角鯊烷」與「乳酸」，4大成份偕同作用，直達肌底改善初期老化的細紋問題，即刻亮出光澤，撫平細紋！ 此外，配方精純又溫和，無添加酒精、香精、Paraben，敏感肌也能安心使用！且質地卻好吸收，擦上去完全不黏膩，一瓶囊括狙擊細紋、透亮光澤、細緻平滑等功效，讓肌膚不受歲月威脅，保持年輕豐盈。
"
ELIXIR 怡麗絲爾,怡麗絲爾彈潤多效美肌乳SP+,5.7,950,"全新小金管，兼具 保濕、持妝、防曬３大功效！
簡單 就能澎彈亮
蟬聯銷售霸主的國民日乳-怡麗絲爾多效彈潤美肌乳 #小金管，在日本掀起回購炫風！延續備受愛戴的日間功效， 全新小金管掃去化妝桌上的瓶罐，一瓶搞定，再度衝高愛用指數
保溼度MAX．持久力MAX．防曬數MAX．清爽感MAX
逐漸濕熱的天氣，整天配戴口罩，依然全天防曬、服貼持妝、保濕不黏膩、清爽穿得住，綻放「水玉光」澎彈亮美肌。
"
Neogence 霓淨思,3%神經醯胺PLUS精華,5.7,1350,"【防禦修護PLUS 一抹澎．嫩．彈】
3%神經醯胺PLUS精華添加高濃度神經醯胺、NMF保濕因子及活萃燕麥，高效滋養肌膚同時強化天然保水屏障，有效穩定膚況、幫助肌膚達到澎、嫩、彈完美狀態！質地清爽好吸收，全膚質皆適用。
【產品重點】
3%神經醯胺：來自日本與德國的高滲透型神經醯胺，修復乾燥，提升角質屏障儲水力。
15%NMF保濕因子：強化保濕，調節肌膚油水比例。
活萃燕麥：增強屏障，有效舒緩乾燥不適。
質地：清爽好吸收，成分不致痘，全膚質安心適用。
"
