商品,品牌,商品簡述,評分,價錢
媚比琳 天生名眸長翹睫毛膏 7.5ml,媚比琳, 媚比琳顛覆睫毛膏纖長妝效極限獨特無重力纖維配方纖長效果加倍捲翹效果從早到晚不崩塌,5,$281
 媚比琳睫毛控 魔術捲翹記憶睫毛膏 8.6ml ,媚比琳,首創沙龍級效果睫毛膏 瞬間自然濃捲翹! 超強睫毛記憶膏體 輕刷就能捲翹有型,5,$390
媚比琳 終極摩天濃防水睫毛膏 10ml,媚比琳,媚比琳No.1熱銷睫毛膏全新進化360度摩天輪超延展刷頭x頂級膠原蛋白即刻刷爆你的強烈存在感,4.4,$390
媚比琳超持久霧感液態唇膏 305 貪玩南瓜橘 5ml,媚比琳,台灣銷售NO.1的超持久霧感液態唇膏擁有市場上絕無僅有的三大唇膏特點 16H超持久、不掉色、不沾杯,0,$360
媚比琳濃捲風防水睫毛膏升級版棕色 9.2ml,媚比琳,超熱銷睫毛膏全新進化強力向上拉提並塑型睫毛弧度鎖定U型翹睫持久整天不下垂,5,$298
媚比琳濃捲風防水睫毛膏升級版黑色 9.2ml,媚比琳,超熱銷睫毛膏全新進化強力向上拉提並塑型睫毛弧度鎖定U型翹睫持久整天不下垂,4.4,$298
媚比琳超持久霧感液態唇膏65女獵人 5ml,媚比琳,NO.1 液態唇膏 市場上絕無僅有的三大唇膏特點不斑駁、不掉色、不沾杯,4.9,$360
媚比琳FIT ME反孔特霧蜜粉餅 220自信 8.5g,媚比琳,柔霧定妝x毛孔隱形 搭配FITme反孔特霧粉底液 有效隱形毛孔抑制出油全天柔霧美肌超簡單,0,$340
媚比琳無敵特霧超持久粉底液110白皙 30ml,媚比琳,24H完美霧感  開啟最強一鍵美顏模式 瞬間修飾NG瑕疵,0,$357
媚比琳FIT ME反孔特霧蜜粉餅 120內斂 8.5g,媚比琳,柔霧定妝x毛孔隱形 搭配FITme反孔特霧粉底液 有效隱形毛孔抑制出油全天柔霧美肌超簡單,4.8,$340
媚比琳反孔特霧控油粉餅SPF28 PA+++112象牙色 6g,媚比琳,超人氣FIT ME家族控油底妝新武器輕盈貼膚控油零毛孔打造自然柔霧妝感,5,$298
媚比琳 Baby毛孔隱形柔焦凝露 22ml,媚比琳,神奇Baby毛孔隱形柔焦凝露　一次達成柔焦X控油 X零毛孔,4.3,$320
媚比琳反孔特霧控油粉餅SPF28 PA+++118自然色 6g,媚比琳,超人氣FIT ME家族控油底妝新武器輕盈貼膚控油零毛孔打造自然柔霧妝感,4.5,$298
媚比琳反孔特霧控油粉餅SPF28 PA+++120裸膚色 6g,媚比琳,超人氣FIT ME家族控油底妝新武器輕盈貼膚控油零毛孔打造自然柔霧妝感,0,$298
媚比琳 無敵特霧超持久粉餅 220 健康 6g,媚比琳,中東油田的夏日夢幻粉餅震撼登場史上最強遮瑕最強持妝完美膚質零油光極細科技持妝粉霜質地一抹幻化霧感膚觸,0,$420
媚比琳 無敵特霧超持久粉餅 130 柔粉 6g,媚比琳,中東油田的夏日夢幻粉餅震撼登場史上最強遮瑕最強持妝完美膚質零油光極細科技持妝粉霜質地一抹幻化霧感膚觸,5,$420
 媚比琳FIT ME空氣絲絨蜜粉 10自然 20g ,媚比琳,輕盈細緻粉質一上臉立即幻化成高級絲絨質感平滑毛孔完美定妝親膚卻不厚重彷彿給肌膚空氣柔焦模式般,4.9,$450
媚比琳極綻色 絲絨霧光唇膏 805 蜜桃豆沙 3.9g,媚比琳,媚比琳開架唇膏霸主時尚絕美新上市加入頂級護唇膏成分滋潤及修護乾燥唇不黏膩讓你全天好氣色,4.5,$360
媚比琳 黑眼圈擦擦筆 120明亮色,媚比琳,獨特的輕柔氣墊海綿頭專為眼周脆弱肌膚設計只要輕輕地點抹保濕修飾粉體立即從海綿中釋出,4.8,$298
媚比琳FIT ME水光奇蹟保濕妝前乳 30ml,媚比琳,FIT ME妝前乳全面解決底妝的疑難雜症讓你的底妝更完美,3.8,$330
媚比琳新一代宛若真眉柔霧塑型眉膠筆 暖茶棕 0.2g,媚比琳,1筆打造自然蓬鬆眉! 眉膠x眉粉 顯色超持久! 獨特的眉膠幻化眉粉材質 瞬間展現蓬鬆輕盈的眉型,0,$290
媚比琳新一代 宛若真眉柔霧塑型眉膠筆 深茶棕 0.2g,媚比琳,1筆打造自然蓬鬆眉! 眉膠x眉粉 顯色超持久! 獨特的眉膠幻化眉粉材質 瞬間展現蓬鬆輕盈的眉型,5,$290
媚比琳極綻色 絲絨霧光唇膏 690 番紅辣椒 3.9g,媚比琳,媚比琳開架唇膏霸主時尚絕美新上市加入頂級護唇膏成分滋潤及修護乾燥唇不黏膩讓你全天好氣色,5,$99
媚比琳超持久抗暈眼線膠筆-黑色,媚比琳,質地濃郁深邃超顯色刺青般持久不暈滑順俐落36HR挑戰抗暈極限。,4.9,$350
媚比琳反孔特霧控油粉餅SPF28 PA+++109明亮色 6g,媚比琳,超人氣FIT ME家族控油底妝新武器輕盈貼膚控油零毛孔打造自然柔霧妝感,4,$298
媚比琳 黑眼圈擦擦筆 110 裸膚色,媚比琳,遮瑕同步修護媚比琳史上最強黑眼圈神器擦擦消眼圈、推推消水腫只要輕輕一抹黑眼圈瞬即隱形!,4.9,$298
媚比琳無敵特霧超持久粉底液 128 健康 30ml,媚比琳,無敵特霧超持久粉底液瞬間美肌柔焦展現超優遮瑕力,4.5,$420
媚比琳極綻色 絲絨霧光唇膏 674 磚紅浪漫 3.9g,媚比琳,媚比琳開架唇膏霸主時尚絕美新上市加入頂級護唇膏成分滋潤及修護乾燥唇不黏膩讓你全天好氣色,0,$360
媚比琳極綻色 絲絨霧光唇膏 673自信棕紅 3.9g,媚比琳,媚比琳開架唇膏霸主時尚絕美新上市加入頂級護唇膏成分滋潤及修護乾燥唇不黏膩讓你全天好氣色,0,$360
媚比琳無敵特霧超持久粉底液-112 溫柔 30ml,媚比琳,無敵特霧超持久粉底液瞬間美肌柔焦展現超優遮瑕力,5,$420
媚比琳超激細抗暈亮眼組-粉棕,媚比琳,職人級抗手震0.01mm筆尖百分百精準操控搭配最美人間仙女色眼彩盤打造超吸睛魅力眼神,5,$499
媚比琳極綻色 絲絨霧光唇膏 637 裸橘情誼 3.9g,媚比琳,媚比琳開架唇膏霸主時尚絕美新上市加入頂級護唇膏成分滋潤及修護乾燥唇不黏膩讓你全天好氣色,5,$360
